INFO - 2025-01-26 21:57:32,604 - Start with stock analysis run
INFO - 2025-01-26 21:58:03,490 - Running the cli for test purposes or with the CLI. The analyzed symbols are: ['UBER', 'Uber Technologies, Inc.']['LLAP', 'Terran Orbital Corporation'] 
INFO - 2025-01-26 21:58:05,042 - Stock UBER will be analyzed
INFO - 2025-01-26 21:58:05,043 - This is number 1 in the total list of stocks
WARNING - 2025-01-26 21:58:05,054 - DataFrame in this stock is empty for key_metrics
WARNING - 2025-01-26 21:58:05,054 - Not all dataframes contain data for: UBER - therefore no analysis possible
WARNING - 2025-01-26 21:58:05,055 - DataFrame in this stock is empty for key_metrics
WARNING - 2025-01-26 21:58:05,056 - Not all dataframes contain data for: UBER - therefore no analysis possible
WARNING - 2025-01-26 21:58:05,056 - DataFrame in this stock is empty for key_metrics
WARNING - 2025-01-26 21:58:05,057 - Not all dataframes contain data for: UBER - therefore no analysis possible
INFO - 2025-01-26 21:58:05,368 - Stock LLAP will be analyzed
INFO - 2025-01-26 21:58:05,368 - This is number 2 in the total list of stocks
INFO - 2025-01-26 21:58:05,390 - Stock LLAP DOES NOT MEET the criteria for screener type undervalued
INFO - 2025-01-26 21:58:05,396 - Stock LLAP DOES NOT MEET the criteria for screener type growth
INFO - 2025-01-26 21:58:05,399 - Stock LLAP DOES NOT MEET the criteria for screener type magic_formula
WARNING - 2025-01-26 21:58:07,445 - Total number of requests: 18
